"","id","coral","algae","turf","soft","cca","simpD","shanH","acro","comp1","comp2","f.biomass","f.biomassT","f.N","f.richness","N.herb","N.carn","FshanH","FsimpD","FsimpD2","fcomp1","fcomp2","Complexity","lat","long","Data","Marine.Park","SectorRegion","Reef","Site","Transect","Zone","Year"
"11611","Site1 Slope 1 2018",7.5,6.5,43.5,17,22.5,0.577777777777778,1.0775733728922,0.0666666666666667,-0.54031721418798,-0.994694608891715,3868.85760791948,7212.09965464464,157,15,35,9,1.37430055571263,0.630370400421924,0.53162400097367,-0.683501853329932,-1.77652616058171,3,"","","LTMP","GBR","Sector1","Reef1","Site1","1","Slope",2018
"11740","Site1 Slope 2 2018",10.5,4,53.5,16,13,0.72108843537415,1.32901061278133,0.142857142857143,-0.159289161756928,-1.50836175039805,4308.0978104847,8754.56024203758,166,23,30,12,1.4256887664708,0.654231383364784,0.573595587167949,-0.9366660761543,-1.40752502252528,3,"","","LTMP","GBR","Sector1","Reef1","Site1","2","Slope",2018
"11869","Site1 Slope 3 2018",8.5,2,47,21.5,16,0.650519031141868,1.0733836203365,0,-0.730845291373806,-1.96726408878312,4399.39059844438,6974.17662290799,173,19,25,12,1.12308752614648,0.535868221457449,0.491563366634368,-1.20028097055746,-0.894135680518037,2.5,"","","LTMP","GBR","Sector1","Reef1","Site1","3","Slope",2018
"11998","Site1 Slope 4 2018",9,6,59,17,8,0.728395061728395,1.42644443385828,0.111111111111111,-1.15874987220433,-0.555382370187468,3747.21861465272,7190.78286864203,66,13,21,7,1.42288899354674,0.733241505968779,0.528466483011938,-2.37321814428218,-1.28291148270425,3,"","","LTMP","GBR","Sector1","Reef1","Site1","4","Slope",2018
"12127","Site1 Slope 5 2018",12,6,53,18.5,10,0.434027777777778,0.723254511001112,0,0.245427260099675,-2.07239002565766,9799.0211983805,15428.4847638955,163,27,32,8,1.23592397713378,0.57096616357409,0.500282283864654,-0.919903860605,-1.16104827713896,3,"","","LTMP","GBR","Sector1","Reef1","Site1","5","Slope",2018
"12256","Site2 Slope 1 2018",11,2.5,75,0.5,8.5,0.566115702479339,0.957555696374223,0,-0.238058484239831,-2.0871051703857,5163.56744945407,80393.2972364908,430,18,18,224,1.11363978980887,0.598355868036777,0.573142239048134,1.09450249594463,3.18537227567344,NA,"","","LTMP","GBR","Sector1","Reef1","Site2","1","Slope",2018
"12385","Site2 Slope 2 2018",16,2,64.5,9.5,8,0.650390625,1.22362625577962,0.0625,0.286221217511111,-1.41793448743468,5141.7927930921,56794.8533526736,287,18,32,129,1.34854661627993,0.678701938836213,0.634923332807245,0.741134185779268,1.55139994686464,3,"","","LTMP","GBR","Sector1","Reef1","Site2","2","Slope",2018
"12514","Site2 Slope 3 2018",18,4,62.5,10.5,4,0.449074074074074,0.876856972404631,0.0555555555555556,0.778752788134256,-1.90356745706152,18547.6784955896,129224.618597407,404,29,60,229,1.39587714679432,0.645096069012842,0.587908048230566,2.64902873922549,1.33200975486248,3,"","","LTMP","GBR","Sector1","Reef1","Site2","3","Slope",2018
"12643","Site2 Slope 4 2018",8.5,4.5,58.5,11.5,15.5,0.705882352941177,1.3647193751408,0,-1.94499314522788,-0.226946706164024,7725.5618667254,13462.652736828,158,24,32,5,1.17588693814031,0.578913635635315,0.499679538535491,-1.53276782957633,-1.01281474093262,2.5,"","","LTMP","GBR","Sector1","Reef1","Site2","4","Slope",2018
"12772","Site2 Slope 5 2018",11,8.5,42.5,23,13.5,0.644628099173554,1.14350248708303,0.0454545454545455,-0.967671986426166,-1.48600136202769,8239.21598315846,13781.0367059138,220,28,45,14,1.21871607562077,0.532190082644628,0.477561983471074,0.18073366127211,-1.69924726796411,2.5,"","","LTMP","GBR","Sector1","Reef1","Site2","5","Slope",2018
