"","Marine.Park","Data","lat","long"
"11611","GBR","LTMP",NA,NA
"42571","GBR","LTMP",-23.5083333333333,151.775
"58051","GBR","LTMP",-23.8583333333333,152.366666666667
"89011","GBR","LTMP",-23.5416666666667,151.733333333333
"118036","GBR","LTMP",-17.7833333333333,146.516666666667
"133516","GBR","LTMP",-17.5333333333333,146.383333333333
"178021","GBR","LTMP",-17.4833333333333,146.391666666667
"191566","GBR","LTMP",-17.8333333333333,146.55
"220591","GBR","LTMP",-21.0166666666667,149.9
"236071","GBR","LTMP",-20.9416666666667,150.533333333333
"251551","GBR","LTMP",-20.9916666666667,150.525
"296056","GBR","LTMP",-21.0166666666667,150.608333333333
"340561","GBR","LTMP",-21.475,151.475
"356041","GBR","LTMP",-21.4166666666667,151.641666666667
"371521","GBR","LTMP",-21.0258333333333,150.373
"387001","GBR","LTMP",-20.9083333333333,150.033333333333
"491491","GBR","LTMP",-21.9833333333333,152.65
"534061","GBR","LTMP",-21.5583333333333,152.541666666667
"595852","GBR","LTMP",-18.6333333333333,147.058333333333
"609397","GBR","LTMP",-18.4416666666667,146.991666666667
"642292","GBR","LTMP",-18.4833333333333,146.883333333333
"659707","GBR","LTMP",-18.6583333333333,147.708333333333
"688603","GBR","LTMP",-18.5833333333333,147.558333333333
"692473","GBR","LTMP",-18.2666666666667,147.391666666667
"727303","GBR","LTMP",-16.925,145.983333333333
"769873","GBR","LTMP",-16.7583333333333,145.98
"805993","GBR","LTMP",-16.3833333333333,145.566666666667
"850498","GBR","LTMP",-16.5166666666667,146.016666666667
"891133","GBR","LTMP",-16.05,145.65
"933703","GBR","LTMP",-16.5833333333333,146.016666666667
"968533","GBR","LTMP",-16.8083333333333,146.191666666667
"1011103","GBR","LTMP",-16.05,145.858333333333
"1051609","GBR","LTMP",-16.2166666666667,145.891666666667
"1088374","GBR","LTMP",-16.1083333333333,145.833333333333
"1130944","GBR","LTMP",-23.275,151.941666666667
"1184995","GBR","LTMP",-23.9083333333333,152.408333333333
"1233370","GBR","LTMP",-23.5,152.066666666667
"1274005","GBR","LTMP",-23.3333333333333,151.966666666667
"1281745","GBR","LTMP",-11.0275,143.251
"1289485","GBR","LTMP",-11.1333333333333,143.258333333333
"1297225","GBR","LTMP",-11.3583333333333,143.333333333333
"1306900","GBR","LTMP",-11.6,143.291666666667
"1314640","GBR","LTMP",-12.3916666666667,143.741666666667
"1324315","GBR","LTMP",-12.275,143.891666666667
"1366885","GBR","LTMP",-14.7833333333333,145.341666666667
"1409455","GBR","LTMP",-14.7666666666667,145.358333333333
"1452025","GBR","LTMP",-14.675,145.466666666667
"1494595","GBR","LTMP",-14.65,145.491666666667
"1537165","GBR","LTMP",-14.7416666666667,145.508333333333
"1579735","GBR","LTMP",-14.55,145.583333333333
"1621531","GBR","LTMP",-14.65,145.65
"1664101","GBR","LTMP",-14.6,145.625
"1698544","GBR","LTMP",-14,144.108333333333
"1708219","GBR","LTMP",-13.8666666666667,144.091666666667
"1717894","GBR","LTMP",-13.975,144.458333333333
"1727569","GBR","LTMP",-14.1916666666667,144.916666666667
"1814515","GBR","LTMP",-22.0083333333333,152.658333333333
"1857085","GBR","LTMP",-21.9833333333333,152.475
"1899655","GBR","LTMP",-22.0333333333333,152.591666666667
"1942225","GBR","LTMP",-21.8666666666667,152.175
"1982860","GBR","LTMP",-22.025,152.15
"2030590","GBR","LTMP",-21.4916666666667,152.558333333333
"2078965","GBR","LTMP",-21.725,152.558333333333
"2117665","GBR","LTMP",-18.85,146.541666666667
"2160235","GBR","LTMP",-18.8166666666667,146.433333333333
"2202805","GBR","LTMP",-18.825,147.641666666667
"2380825","GBR","LTMP",-18.4166666666667,147.458333333333
"2471641","GBR","LTMP",-20.175,149.025
"2512276","GBR","LTMP",-20.0666666666667,148.891666666667
"2554846","GBR","LTMP",-20.0916666666667,148.875
"2591611","GBR","LTMP",-19.7666666666667,149.366666666667
"2634181","GBR","LTMP",-19.8083333333333,149.425
"2676622","GBR","LTMP",-20.0333333333333,149.683333333333
"2711452","GBR","LTMP",-19.7583333333333,150.091666666667
"2753893","GBR","LTMP",-19.8083333333333,150.15
"2794528","GBR","LTMP",-19.6666666666667,149.925
"1","Coral Sea","Coral Sea",17.71357,148.43713
"37","Coral Sea","Coral Sea",16.94348,149.18565
"61","Coral Sea","Coral Sea",17.44199,151.06255
"79","Coral Sea","Coral Sea",17.59707,151.48956
"109","Coral Sea","Coral Sea",16.29661,149.96089
"127","Coral Sea","Coral Sea",15.71759,149.61794
"139","Coral Sea","Coral Sea",16.5045,147.99681
"187","Coral Sea","Coral Sea",15.49273,147.08638
"205","Coral Sea","Coral Sea",13.80132,146.5461
"220","Coral Sea","Coral Sea",10.13803,144.44118
"250","Coral Sea","Coral Sea",9.98347,144.68056
"268","Coral Sea","Coral Sea",23.24763,155.53525
"286","Coral Sea","Coral Sea",22.19267,155.33405
"301","Coral Sea","Coral Sea",21.88607,153.64764
"313","Coral Sea","Coral Sea",21.01111,154.351
"316","Coral Sea","Coral Sea",21.2476,155.76616
"340","Coral Sea","Coral Sea",17.43996,155.85533
"382","Coral Sea","Coral Sea",18.98541,152.34488
"394","GBR","Coral Sea",NA,NA
"565","Coral Sea","Coral Sea",16.86879229,150.1956368
"691","Coral Sea","Coral Sea",NA,NA
"2131","Coral Sea","Coral Sea",16.70980793,147.8309332
"2518","Lord Howe Marine Park","Coral Sea",NA,NA
"2551","Lord Howe Marine Park","Coral Sea",29.47154884,159.1209893
