"","Year","Date","Marine.Park","SectorRegion","Name","Reef","Site","Site_notes","Zone","Transect","Depth","Complexity","Total.Macroalgae","Total.HARD.CORAL","Gradient","Total","id","total","match","coral","simpD","shanH","FDis"
"1",2018,"12/04/18","Coral Sea","Central Coral Sea","Mike","Flinders","Flinders 1","Main Cay","Slope",1,9,4,20,18,"",100,"Flinders 1 Slope 1 2018",100,"yes",18,0.78395061728395,1.63003548809896,0.156765243664512
"2",2018,"12/04/18","Coral Sea","Central Coral Sea","Mike","Flinders","Flinders 1","Main Cay","Slope",2,9,4,3,9,"",100,"Flinders 1 Slope 2 2018",100,"yes",9,0.71604938271605,1.31078367809971,0.16662262742425
"3",2018,"12/04/18","Coral Sea","Central Coral Sea","Mike","Flinders","Flinders 1","Main Cay","Slope",3,9,3,9,12,"",100,"Flinders 1 Slope 3 2018",100,"yes",12,0.777777777777778,1.63263092715435,0.145872232001425
"4",2018,"12/04/18","Coral Sea","Central Coral Sea","Mike","Flinders","Flinders 1","Main Cay","Crest",1,3,3,12,14,"",100,"Flinders 1 Crest 1 2018",100,"yes",14,0.714285714285714,1.39043779493948,0.129566294566642
"5",2018,"12/04/18","Coral Sea","Central Coral Sea","Mike","Flinders","Flinders 1","Main Cay","Crest",2,3,2.5,5,11,"",100,"Flinders 1 Crest 2 2018",100,"yes",11,0.760330578512397,1.51570795208571,0.157627031215615
"6",2018,"12/04/18","Coral Sea","Central Coral Sea","Mike","Flinders","Flinders 1","Main Cay","Crest",3,3,2.5,23,13,"",100,"Flinders 1 Crest 3 2018",100,"yes",13,0.769230769230769,1.52470739303014,0.15118552939202
"7",2018,"12/04/18","Coral Sea","Central Coral Sea","Mike","Flinders","Flinders 2","Main Cay","Slope",1,8,4,3,20,"",100,"Flinders 2 Slope 1 2018",100,"yes",20,0.74,1.52748961741732,0.158987597059512
"8",2018,"12/04/18","Coral Sea","Central Coral Sea","Mike","Flinders","Flinders 2","Main Cay","Slope",2,8,4,2,17,"",100,"Flinders 2 Slope 2 2018",100,"yes",17,0.761245674740484,1.51767452946257,0.19009151726754
"9",2018,"12/04/18","Coral Sea","Central Coral Sea","Mike","Flinders","Flinders 2","Main Cay","Slope",3,8,3.5,7,12,"",100,"Flinders 2 Slope 3 2018",100,"yes",12,0.75,1.56071040904141,0.175475449723943
"10",2018,"12/04/18","Coral Sea","Central Coral Sea","Mike","Flinders","Flinders 2","Main Cay","Crest",1,3,3.5,20,16,"",100,"Flinders 2 Crest 1 2018",100,"yes",16,0.5390625,0.98689944883853,0.141795385519235
