"","species","genus","raw_growth_form","domain","cat_growthrate","cat_corallitesize","cat_colonydiameter","cat_skeletaldensity","cat_colonyheight","cat_SA_vol","cat_spacesize","dat_corallite","Tropical.Australia","reproductive_mode","raw_colonydiam","raw_growth","dat_growth","dat_colonydiameter","link","Growth.form.typical","sa_vol2","log_growth","log_corallite","log_diameter","PC1","PC2","PC3","PC4","PCo1","PCo2","PCo3","PCo4","dim1","dim2","dim3","dim4","mclust","kclust","clust","gen"
"Acanthastrea brevis","Acanthastrea brevis","Acanthastrea","submassive","pacific",1,5,1,4,3,1,1,25,1,"spawner",NA,NA,NA,NA,"Acanthastrea","massive",0.5,NA,3.2188758248682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Acanthastrea echinata","Acanthastrea echinata","Acanthastrea","massive","pacific",1,4,2,4,4,1,1,22.5,1,"spawner",NA,NA,NA,100,"Acanthastrea","massive",0.5,NA,3.11351530921037,4.60517018598809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Acanthastrea hemprichi","Acanthastrea hemprichi","Acanthastrea","massive","pacific",1,4,2,4,4,1,1,18.8,1,"spawner",NA,NA,NA,100,"Acanthastrea","massive",0.5,NA,2.9338568698359,4.60517018598809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Acanthastrea ishigakiensis","Acanthastrea ishigakiensis","Acanthastrea","massive","pacific",1,4,1,4,4,1,1,21,1,"spawner",NA,NA,NA,50,"Acanthastrea","massive",0.5,NA,3.04452243772342,3.91202300542815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Acanthastrea pachysepta","Acanthastrea pachysepta","Lobophyllia","massive","pacific",1,5,1,4,4,1,1,32.6,1,"spawner",50,NA,NA,50,"Lobophyllia","massive",0.5,NA,3.48431228837266,3.91202300542815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Acanthastrea regularis","Acanthastrea regularis","Acanthastrea","massive","pacific",1,3,1,4,4,1,1,9.1,1,"spawner",NA,NA,NA,30,"Acanthastrea","massive",0.5,NA,2.2082744135228,3.40119738166216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Acanthastrea rotundoflora","Acanthastrea rotundoflora","Acanthastrea","encrusting","pacific",1,4,1,4,1,2,1,14.7,1,"spawner",NA,NA,NA,NA,"Acanthastrea","encrusting",1,NA,2.68784749378469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Acanthastrea subechinata","Acanthastrea subechinata","Acanthastrea","massive","pacific",1,4,1,4,4,1,1,17.7,1,"spawner",NA,NA,NA,20,"Acanthastrea","massive",0.5,NA,2.87356463957978,2.99573227355399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Acropora abrolhosensis","Acropora abrolhosensis","Acropora","branching_open","pacific",5,1,5,2,5,4,5,1.5,1,"spawner",533.3,NA,58.7,533.3,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,0.405465108108164,6.27908411760656,-3.21187180620535,0.804998829191073,-1.13145561908177,0.0105563927644913,-0.305034049515394,-0.0774514604312244,0.0138803896430547,0.0162115674472357,0.305034049515394,-0.0774514604312244,0.0138803896430547,0.0162115674472357,1,8,8,"Acropora"
"Acropora abrotanoides","Acropora abrotanoides","Acropora","branching_open","pacific",5,1,4,2,5,4,5,1.2,1,"spawner",NA,127.5,127.5,222.4,"Acropora...Staghorn","branching_open",2.025,4.84811636459848,0.182321556793955,5.40447756237643,-3.35032854699075,0.631874622113727,-0.0905426053679007,-0.395137873560104,-0.31074945210728,-0.0753970683801725,0.0166787515799126,0.00346091248741226,0.31074945210728,-0.0753970683801725,0.0166787515799126,0.00346091248741226,1,8,8,"Acropora"
