"","Site","dim1","dim2","variable","n","type"
"1","Crescent 2",0.240328415385067,0.134035421382788,"Acropora...Tabular",9,"HighFD"
"2","Crescent 2",0.281922521102274,-0.0635149911254278,"Acropora...Staghorn",4,"HighFD"
"3","Crescent 2",0.139240828086872,0.0128591462882639,"Acropora...other",17,"HighFD"
"4","Crescent 2",-0.100672656808791,0.0249293811191919,"Astreopora",2,"HighFD"
"5","Crescent 2",0.083912073823699,0.0150709500173525,"Isopora",0,"HighFD"
"6","Crescent 2",0.000126234233786947,0.0620124407750369,"Montipora",5,"HighFD"
"7","Crescent 2",-0.0526371368009176,-0.0615944403508045,"Alveopora",0,"HighFD"
"8","Crescent 2",0.166418425440558,-0.0150962312552074,"Pocillopora",3,"HighFD"
"9","Crescent 2",0.110977725548282,-0.0142253686589396,"Seriatopora",0,"HighFD"
"10","Crescent 2",0.097557848276538,-0.0231199531043404,"Stylophora",0,"HighFD"
"11","Crescent 2",-0.155347422346786,0.154422260937258,"Stylocoeniella",0,"HighFD"
"12","Crescent 2",-0.109183471440086,-0.0863591294127497,"Porites...Massive",21,"HighFD"
"13","Crescent 2",0.123056243261964,-0.00484182963326615,"Porites...Branching",0,"HighFD"
"14","Crescent 2",-0.0659013787947221,-0.0813098156213875,"Goniopora",6,"HighFD"
"15","Crescent 2",-0.200139248881424,-0.0135253955263369,"Astrea",1,"HighFD"
"16","Crescent 2",-0.0740270081466874,-0.0976935567247429,"Cyphastrea",0,"HighFD"
"17","Crescent 2",-0.170585006194142,-0.0889734366549273,"Dipsastrea",0,"HighFD"
"18","Crescent 2",-0.0398533446993827,0.12300727886765,"Echinopora",0,"HighFD"
"19","Crescent 2",-0.171471606389521,-0.0730282403869843,"Favites",0,"HighFD"
"20","Crescent 2",-0.129567164119885,-0.0573984710048977,"Goniastrea",0,"HighFD"
"21","Crescent 2",-0.0220693239268366,-0.0690869121023572,"Hydnophora",0,"HighFD"
"22","Crescent 2",-0.170515240925304,-0.00528658882649215,"Leptoria",0,"HighFD"
"23","Crescent 2",0.0425014257098473,0.0887031191550727,"Merulina",0,"HighFD"
"24","Crescent 2",-0.127067093111153,-0.110448752671918,"Platygyra",2,"HighFD"
"25","Crescent 2",-0.0976220474435125,-0.103840087396198,"Other.Merulinidae",0,"HighFD"
"26","Crescent 2",-0.197435081881674,-0.0120328476022908,"Other.Lobophyllidae",0,"HighFD"
"27","Crescent 2",-0.191006559312044,-0.122046732964091,"Coelastrea",0,"HighFD"
"28","Crescent 2",-0.172704024646529,-0.103426931540477,"Coeloseris",0,"HighFD"
"29","Crescent 2",-0.167100178348715,-0.0994352737223055,"Halomitra",0,"HighFD"
"30","Crescent 2",-0.288910750106923,0.0125049653252868,"Fungiidae",2,"HighFD"
"31","Crescent 2",-0.214521734582303,0.0628648419368869,"Leptastrea",0,"HighFD"
"32","Crescent 2",-0.155445837745099,-0.108499993195654,"Pleisiastrea",0,"HighFD"
"33","Crescent 2",-0.216778905149941,-0.105325535024696,"Diploastrea",5,"HighFD"
"34","Crescent 2",-0.0654443393924778,0.0198479615350563,"Pavona",0,"HighFD"
"35","Crescent 2",-0.0600891759544262,-0.0719212142509173,"Psammocora",5,"HighFD"
"36","Crescent 2",-0.00292058014456572,0.0975100417830366,"Turbinaria",0,"HighFD"
"37","Crescent 2",-0.180173889787317,-0.109520721193129,"Physogyra",0,"HighFD"
"38","Crescent 2",-0.132842657941001,-0.153276401502432,"Oulophyllia",0,"HighFD"
"39","Crescent 2",-0.0240667153975248,0.176838301127354,"Mycedium",0,"HighFD"
"40","Crescent 2",-0.140359849533919,-0.0922340986024226,"Gardinoseris",0,"HighFD"
"41","Crescent 2",-0.113176808041431,0.175498836497856,"Leptoseris",0,"HighFD"
"42","Crescent 2",0.0481781615794045,-0.193096592599396,"Scapophyllia",0,"HighFD"
"43","Crescent 2",0.0194150178906054,0.0499762641006908,"Pectinia",0,"HighFD"
"44","Crescent 2",-0.199811883259408,0.0882839692151224,"Bernardpora",0,"HighFD"
"45","Crescent 2",-0.226730189710759,0.125257951054428,"Podabacia",0,"HighFD"
"46","Crescent 2",-0.114144587797251,-0.116915343487126,"Paramontastrea",0,"HighFD"
"47","Crescent 2",-0.191967916813352,-0.0306993831342351,"Paragoniastrea",0,"HighFD"
"48","Crescent 2",-0.105316075822891,-0.0998453875118921,"Plerogyra",0,"HighFD"
"49","Crescent 2",0.13065872570089,-0.0786784170899101,"Australogyra",0,"HighFD"
"50","Osprey 3",0.240328415385067,0.134035421382788,"Acropora...Tabular",0,"LowFD"
"51","Osprey 3",0.281922521102274,-0.0635149911254278,"Acropora...Staghorn",0,"LowFD"
"52","Osprey 3",0.139240828086872,0.0128591462882639,"Acropora...other",0,"LowFD"
"53","Osprey 3",-0.100672656808791,0.0249293811191919,"Astreopora",2,"LowFD"
"54","Osprey 3",0.083912073823699,0.0150709500173525,"Isopora",0,"LowFD"
"55","Osprey 3",0.000126234233786947,0.0620124407750369,"Montipora",0,"LowFD"
"56","Osprey 3",-0.0526371368009176,-0.0615944403508045,"Alveopora",0,"LowFD"
"57","Osprey 3",0.166418425440558,-0.0150962312552074,"Pocillopora",0,"LowFD"
"58","Osprey 3",0.110977725548282,-0.0142253686589396,"Seriatopora",0,"LowFD"
"59","Osprey 3",0.097557848276538,-0.0231199531043404,"Stylophora",0,"LowFD"
"60","Osprey 3",-0.155347422346786,0.154422260937258,"Stylocoeniella",0,"LowFD"
"61","Osprey 3",-0.109183471440086,-0.0863591294127497,"Porites...Massive",0,"LowFD"
"62","Osprey 3",0.123056243261964,-0.00484182963326615,"Porites...Branching",0,"LowFD"
"63","Osprey 3",-0.0659013787947221,-0.0813098156213875,"Goniopora",0,"LowFD"
"64","Osprey 3",-0.200139248881424,-0.0135253955263369,"Astrea",0,"LowFD"
"65","Osprey 3",-0.0740270081466874,-0.0976935567247429,"Cyphastrea",0,"LowFD"
"66","Osprey 3",-0.170585006194142,-0.0889734366549273,"Dipsastrea",0,"LowFD"
"67","Osprey 3",-0.0398533446993827,0.12300727886765,"Echinopora",0,"LowFD"
"68","Osprey 3",-0.171471606389521,-0.0730282403869843,"Favites",0,"LowFD"
"69","Osprey 3",-0.129567164119885,-0.0573984710048977,"Goniastrea",0,"LowFD"
"70","Osprey 3",-0.0220693239268366,-0.0690869121023572,"Hydnophora",0,"LowFD"
"71","Osprey 3",-0.170515240925304,-0.00528658882649215,"Leptoria",0,"LowFD"
"72","Osprey 3",0.0425014257098473,0.0887031191550727,"Merulina",0,"LowFD"
"73","Osprey 3",-0.127067093111153,-0.110448752671918,"Platygyra",0,"LowFD"
"74","Osprey 3",-0.0976220474435125,-0.103840087396198,"Other.Merulinidae",0,"LowFD"
