"","Year","Date","Marine.Park","SectorRegion","Name","Reef","Site","Site_notes","Zone","Transect","Depth","Complexity","Total.Macroalgae","Total.HARD.CORAL","Gradient","Total","id","variable","n","group","morph","acro","dim1","dim2","dim3","dim4","t","type","simpDx","morph8"
"1327",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Acropora...Tabular",0,"HC","Acropora tabular-bushy","yes",0.240328415385067,0.134035421382788,-0.0482618021729126,-0.113169850355026,"ii","high D",0.836565096952909,"Acr. tabular"
"4135",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Acropora...Staghorn",5,"HC","Acropora branching","yes",0.281922521102274,-0.0635149911254278,0.0204441380642461,0.000409788797686724,"ii","high D",0.836565096952909,"Acr. branching"
"6943",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Acropora...other",9,"HC","Acropora tabular-bushy","yes",0.139240828086872,0.0128591462882639,-0.0410847341926154,0.0242494399320568,"ii","high D",0.836565096952909,"Acr. Bushy"
"9751",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Astreopora",1,"HC","Encrusting-submassive","no",-0.100672656808791,0.0249293811191919,0.0437230821454867,0.018986140277716,"ii","high D",0.836565096952909,"Encrusting"
"12559",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Isopora",1,"HC","Branching (other)","no",0.083912073823699,0.0150709500173525,0.0422969758631734,-0.01667727145447,"ii","high D",0.836565096952909,"Columnar"
"15367",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Montipora",0,"HC","Encrusting-foliose","no",0.000126234233786947,0.0620124407750369,0.0320823937551572,0.0127030367419577,"ii","high D",0.836565096952909,"Foliose"
"18175",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Alveopora",0,"HC","Encrusting-submassive","no",-0.0526371368009176,-0.0615944403508045,0.0424184668426243,-0.0317201338697867,"ii","high D",0.836565096952909,"Encrusting"
"20983",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Pocillopora",2,"HC","Bushy-corymbose (other)","no",0.166418425440558,-0.0150962312552074,0.136213247732585,-0.00967291656217472,"ii","high D",0.836565096952909,"Bushy (other)"
"23791",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Seriatopora",0,"HC","Bushy-corymbose (other)","no",0.110977725548282,-0.0142253686589396,0.118794405836673,0.0252534379018654,"ii","high D",0.836565096952909,"Bushy (other)"
"26599",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Stylophora",0,"HC","Bushy-corymbose (other)","no",0.097557848276538,-0.0231199531043404,0.0962806786798844,0.0122126255584989,"ii","high D",0.836565096952909,"Bushy (other)"
"29407",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Stylocoeniella",0,"HC","Encrusting-submassive","no",-0.155347422346786,0.154422260937258,0.0769372077205655,-0.00783639259123267,"ii","high D",0.836565096952909,"Encrusting"
"32215",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Porites...Massive",2,"HC","Massive-columnar","no",-0.109183471440086,-0.0863591294127497,-0.0715213942646123,0.0102314522263045,"ii","high D",0.836565096952909,"Massive"
"35023",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Porites...Branching",4,"HC","Branching (other)","no",0.123056243261964,-0.00484182963326615,-0.0491427758661038,0.0268718400335514,"ii","high D",0.836565096952909,"Branching (other)"
"37831",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Goniopora",0,"HC","Encrusting-submassive","no",-0.0659013787947221,-0.0813098156213875,-0.0365218300275952,-0.0702797668670932,"ii","high D",0.836565096952909,"Encrusting"
"40639",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Astrea",0,"HC","Encrusting-submassive","no",-0.200139248881424,-0.0135253955263369,-0.0111714389728248,-0.000347983699355049,"ii","high D",0.836565096952909,"Encrusting"
"43447",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Cyphastrea",0,"HC","Encrusting-submassive","no",-0.0740270081466874,-0.0976935567247429,-0.0676415376952733,0.00670265600665732,"ii","high D",0.836565096952909,"Encrusting"
"46255",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Dipsastrea",0,"HC","Massive-columnar","no",-0.170585006194142,-0.0889734366549273,0.0125263195542029,0.0267296895356074,"ii","high D",0.836565096952909,"Massive"
"49063",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Echinopora",2,"HC","Encrusting-foliose","no",-0.0398533446993827,0.12300727886765,0.0135827578734912,0.0367439036181558,"ii","high D",0.836565096952909,"Foliose"
"51871",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Favites",1,"HC","Massive-columnar","no",-0.171471606389521,-0.0730282403869843,-0.0106400303078346,0.0218043139061569,"ii","high D",0.836565096952909,"Massive"
"54679",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Goniastrea",1,"HC","Massive-columnar","no",-0.129567164119885,-0.0573984710048977,-0.0344209724758839,0.0123135211180992,"ii","high D",0.836565096952909,"Massive"
"57487",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Hydnophora",0,"HC","Encrusting-foliose","no",-0.0220693239268366,-0.0690869121023572,-0.00698765165961518,0.00027039997412355,"ii","high D",0.836565096952909,"Branching (other)"
"60295",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Leptoria",0,"HC","Massive-columnar","no",-0.170515240925304,-0.00528658882649215,-0.0155198400903626,0.0105260594867268,"ii","high D",0.836565096952909,"Massive"
"63103",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Merulina",1,"HC","Encrusting-foliose","no",0.0425014257098473,0.0887031191550727,0.0240933120895385,0.0417819724197133,"ii","high D",0.836565096952909,"Foliose"
"65911",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Platygyra",1,"HC","Massive-columnar","no",-0.127067093111153,-0.110448752671918,-0.0332040623252233,0.0197123259951778,"ii","high D",0.836565096952909,"Massive"
"68719",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Other.Merulinidae",0,"HC","Massive-columnar","no",-0.0976220474435125,-0.103840087396198,0.00561589762183675,0.0427155327482793,"ii","high D",0.836565096952909,"Massive"
"71527",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Acanthastrea",0,"HC","Encrusting-submassive","no",NA,NA,NA,NA,"ii","high D",0.836565096952909,"Encrusting"
"74335",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Echinophyllia",0,"HC","Encrusting-submassive","no",NA,NA,NA,NA,"ii","high D",0.836565096952909,"Encrusting"
"77143",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Lobophyllia",0,"HC","Massive-columnar","no",NA,NA,NA,NA,"ii","high D",0.836565096952909,"Massive"
"79951",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Other.Lobophyllidae",0,"HC","Massive-columnar","no",-0.197435081881674,-0.0120328476022908,-0.01673138203562,0.0090115527065433,"ii","high D",0.836565096952909,"Massive"
"82759",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Coelastrea",0,"HC","Encrusting-submassive","no",-0.191006559312044,-0.122046732964091,0.0156786666717618,0.047344831016019,"ii","high D",0.836565096952909,"Encrusting"
"85567",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Coeloseris",0,"HC","Encrusting-submassive","no",-0.172704024646529,-0.103426931540477,0.0224755320795815,0.0218105521132626,"ii","high D",0.836565096952909,"Encrusting"
"88375",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Halomitra",0,"HC","Encrusting-submassive","no",-0.167100178348715,-0.0994352737223055,0.0232958170520704,0.0105711378650488,"ii","high D",0.836565096952909,"Encrusting"
"91183",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Fungiidae",5,"HC","Encrusting-submassive","no",-0.288910750106923,0.0125049653252868,-0.0013897587730078,-0.0492791056077181,"ii","high D",0.836565096952909,"Encrusting"
"93991",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Leptastrea",0,"HC","Encrusting-submassive","no",-0.214521734582303,0.0628648419368869,-0.0383011946183843,-0.034818791956,"ii","high D",0.836565096952909,"Encrusting"
"96799",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Pleisiastrea",0,"HC","Encrusting-submassive","no",-0.155445837745099,-0.108499993195654,0.0140781216756101,0.0555392579872258,"ii","high D",0.836565096952909,"Encrusting"
"99607",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Diploastrea",0,"HC","Massive-columnar","no",-0.216778905149941,-0.105325535024696,0.110063397271714,0.133818892205185,"ii","high D",0.836565096952909,"Massive"
"102415",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Galaxea",0,"HC","Massive-columnar","no",NA,NA,NA,NA,"ii","high D",0.836565096952909,"Massive"
"105223",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Pavona",0,"HC","Massive-columnar","no",-0.0654443393924778,0.0198479615350563,0.0221971014315002,0.00194744347960258,"ii","high D",0.836565096952909,"Columnar"
