,species,genus,domain,cat_growthrate,cat_corallitesize,cat_colonydiameter,cat_skeletaldensity,cat_colonyheight,cat_SA_vol,cat_spacesize,dat_growth,dat_skeletal,dat_corallite,dat_colonydiameter,raw_growth,raw_skeldensity,raw_polypsize,raw_colonydiam,raw_growth_form,reproductive_mode,raw_reproductive_mode,species_keith,species_keith_updated,Andaman.Sea,Eastern.Pacific,Fiji.Caroline.Islands,Hawaii.Line.Islands,Indonesia.Philippines,Japan.Vietnam,Northern.PNG...Solomon.Islands,Persian.Gulf,Polynesia,Red.Sea.Gulf.of.Aden,Subtropical.East.Africa,Subtropical.Eastern.Australia,Subtropical.Japan,Subtropical.Western.Australia,Tonga.Samoa,Tropical.Australia,Western.Indian.Ocean,Caribbean,Brazil,East_Atlantic
1,Acanthastrea brevis,Acanthastrea,pacific,1,5,1,4,3,1,1,NA,NA,25,NA,NA,NA,NA,NA,submassive,spawner,NA,Acanthastrea brevis,Acanthastrea brevis,NA,NA,1,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA
2,Acanthastrea echinata,Acanthastrea,pacific,1,4,2,4,4,1,1,NA,NA,22.5,100,NA,NA,NA,NA,massive,spawner,spawner,Acanthastrea echinata,Acanthastrea echinata,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
3,Acanthastrea hemprichi,Acanthastrea,pacific,1,4,2,4,4,1,1,NA,NA,18.8,100,NA,NA,NA,NA,massive,spawner,NA,Acanthastrea hemprichi,Acanthastrea hemprichi,NA,NA,NA,NA,1,1,1,NA,NA,1,1,NA,1,NA,NA,1,1,NA,NA,NA
4,Acanthastrea ishigakiensis,Acanthastrea,pacific,1,4,1,4,4,1,1,NA,NA,21,50,NA,NA,NA,NA,massive,spawner,NA,Acanthastrea ishigakiensis,Acanthastrea ishigakiensis,NA,NA,1,NA,1,1,1,NA,NA,1,1,NA,1,NA,1,1,1,NA,NA,NA
5,Acanthastrea pachysepta,Lobophyllia,pacific,1,5,1,4,4,1,1,NA,NA,32.6,50,NA,NA,32.6,50,massive,spawner,spawner,Acanthastrea pachysepta,Acanthastrea pachysepta,1,NA,1,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA
6,Acanthastrea regularis,Acanthastrea,pacific,1,3,1,4,4,1,1,NA,NA,9.1,30,NA,NA,NA,NA,massive,spawner,NA,Acanthastrea regularis,Acanthastrea regularis,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
7,Acanthastrea rotundoflora,Acanthastrea,pacific,1,4,1,4,1,2,1,NA,NA,14.7,NA,NA,NA,NA,NA,encrusting,spawner,NA,Acanthastrea rotundoflora,Acanthastrea rotundoflora,NA,NA,1,NA,1,1,1,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA
8,Acanthastrea subechinata,Acanthastrea,pacific,1,4,1,4,4,1,1,NA,NA,17.7,20,NA,NA,NA,NA,massive,spawner,NA,Acanthastrea subechinata,Acanthastrea subechinata,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
9,Acropora abrolhosensis,Acropora,pacific,5,1,5,2,5,4,5,58.7,1.4,1.5,533.3,NA,NA,1.5,533.3,branching_open,spawner,spawner,Acropora abrolhosensis,Acropora abrolhosensis,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
10,Acropora abrotanoides,Acropora,pacific,5,1,4,2,5,4,5,127.5,1.4,1.2,222.4,127.5,NA,1.2,NA,branching_open,spawner,spawner,Acropora abrotanoides,Acropora abrotanoides,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,NA,NA
